,Player,* = NCAA Tournament appearance,Conference,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game, ,"Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."
0,Damian Jones,Vanderbilt,,99,95,27.1,5.1,9.1,.566,5.1,9.0,.570,0.0,0.1,.125,3.0,5.3,.565,2.1,4.3,6.4,0.7,0.4,1.7,2.0,3.0,13.3,,7.13
0,Ben Gordon,UConn,,106,74,31.0,5.6,12.7,.440,3.2,7.2,.452,2.3,5.5,.423,3.5,4.4,.795,0.8,3.1,3.9,4.1,1.2,0.2,2.8,2.3,16.9,,7.61
0,Darius Washington,Memphis,,73,73,31.0,4.7,10.7,.442,3.5,7.4,.473,1.3,3.4,.376,3.7,4.9,.754,1.0,2.3,3.2,3.5,1.5,0.1,3.4,2.0,14.4,,4.82
0,Justin Hamilton,Florida,,113,81,25.1,2.6,5.4,.489,2.0,3.3,.589,0.7,2.1,.331,0.9,1.2,.739,,,2.6,2.7,1.5,0.3,1.3,1.8,6.9,,8.03
0,Rodney Rogers,Wake Forest,,89,86,31.7,7.7,13.2,.579,7.1,11.5,.613,0.6,1.7,.349,3.4,4.9,.694,,,7.9,2.2,1.6,0.8,2.8,2.8,19.3,,8.26
0,DeAndre' Bembry,St. Joseph's,,101,100,36.1,5.7,12.6,.457,4.6,8.8,.520,1.2,3.8,.312,3.1,4.9,.628,1.4,5.3,6.7,3.6,1.4,0.8,2.5,2.5,15.7,,4.20
0,Josh Powell,NC State,,65,60,23.1,3.7,6.6,.553,3.5,6.1,.579,0.2,0.6,.289,2.2,3.0,.729,2.0,2.6,4.5,1.0,0.5,1.1,2.0,2.5,9.7,,7.87
0,Al-Farouq Aminu,Wake Forest,,62,60,30.1,5.0,10.6,.476,4.6,8.9,.522,0.4,1.7,.238,3.9,5.7,.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4,,8.10
0,Gerald Paddio,UNLV,,73,37,29.2,5.8,13.3,.437,3.0,6.2,.484,2.8,7.1,.395,1.6,2.2,.764,,,4.6,2.4,0.9,0.3,2.1,1.8,16.0,,5.87
0,Dominique Jones,South Florida,,95,94,36.5,6.2,14.1,.442,4.5,8.9,.512,1.7,5.2,.323,4.8,6.5,.737,1.5,3.9,5.4,3.5,1.5,0.4,2.6,2.6,18.9,,7.32
0,Jaylen Brown,California,,34,34,27.6,4.8,11.1,.431,3.9,8.1,.482,0.9,3.0,.294,4.2,6.4,.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6,,7.87
0,Anthony Johnson,College of Charleston,,117,30,24.0,2.9,6.1,.466,2.3,4.7,.485,0.6,1.4,.404,1.9,2.6,.725,,,2.6,4.4,1.2,0.2,1.7,1.9,8.2,,-6.87
0,Tom Garrick,Rhode Island,,120,99,30.3,4.9,10.3,.474,,,.477,,,.444,2.9,3.8,.784,,,3.8,3.4,1.7,0.4,2.2,2.7,13.1,,-0.35
0,J.R. Henderson,UCLA,,127,103,29.4,5.3,9.7,.549,5.2,9.4,.554,0.1,0.3,.353,3.4,5.4,.638,,,6.4,1.6,1.1,0.5,2.4,2.6,14.2,,9.68
0,Maurice Ndour,Ohio,,66,60,32.3,5.2,10.5,.498,4.6,8.8,.520,0.7,1.8,.388,3.6,4.8,.757,1.9,5.7,7.6,1.6,0.8,1.9,2.7,2.7,14.8,,-0.36
0,Willie Warren,Oklahoma,,57,53,31.7,4.9,10.6,.459,3.2,5.8,.550,1.7,4.9,.350,3.8,4.8,.788,0.6,2.1,2.6,3.5,1.1,0.1,2.8,2.3,15.2,,7.33
0,Derrick Favors,Georgia Tech,,36,35,27.5,5.0,8.1,.611,5.0,8.1,.613,0.0,0.0,.000,2.5,4.0,.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4,,9.02
0,Ivan Johnson,Oregon,,28,6,16.1,2.9,5.9,.500,2.9,5.7,.513,0.0,0.1,.000,1.6,2.5,.634,1.0,2.2,3.2,0.4,0.9,0.3,1.7,3.0,7.5,,6.85
0,Skeeter Henry,Oklahoma,,67,32,26.5,4.4,8.8,.498,3.7,6.7,.546,0.7,2.1,.348,2.4,3.1,.786,,,4.3,3.3,1.4,0.2,2.0,3.1,11.9,,9.80
0,Stanley Johnson,Arizona,,38,37,28.4,4.6,10.3,.446,3.4,7.2,.478,1.1,3.1,.371,3.5,4.7,.742,2.0,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,,7.41
0,Cameron Bairstow,New Mexico,,134,55,20.8,3.1,6.0,.517,3.1,6.0,.519,0.0,0.0,.333,3.0,4.2,.717,1.7,3.0,4.8,0.8,0.5,0.7,1.2,2.1,9.2,,4.93
0,Rafer Alston,Fresno State,,33,,31.2,3.8,9.4,.401,1.8,3.4,.513,2.0,5.9,.337,1.5,2.0,.758,,,2.2,7.3,2.1,0.4,3.4,2.9,11.0,,5.48
0,Calbert Cheaney,Indiana,,132,130,31.3,7.7,13.8,.559,6.6,11.2,.587,1.1,2.6,.438,3.3,4.1,.790,,,5.4,1.7,0.9,0.3,2.1,2.5,19.8,,10.64
0,Michael Hawkins,Xavier,,112,21,26.8,3.0,7.3,.418,1.7,3.7,.454,1.4,3.6,.382,1.7,2.3,.739,,,2.7,4.0,1.2,0.0,2.2,2.2,9.2,,1.26
0,Corey Benjamin,Oregon State,,48,39,26.5,6.4,13.0,.491,5.0,8.6,.586,1.3,4.4,.305,3.4,4.9,.688,,,4.5,1.8,1.5,0.6,3.1,3.3,17.5,,8.65
0,Michael Adams,Boston College,,119,0,29.6,5.3,11.3,.470,,,,,,,3.2,4.3,.750,,,2.7,4.0,2.3,0.1,2.8,2.0,13.9,,5.30
0,Jordan Mickey,LSU,,65,65,33.8,5.6,10.8,.518,5.6,10.6,.527,0.0,0.2,.071,2.9,4.3,.669,2.7,6.1,8.8,1.2,0.8,3.4,2.8,2.4,14.0,,6.12
0,Calvin Natt,Louisiana-Monroe,,108,,,9.4,16.4,.574,,,,,,,5.1,6.7,.761,,,11.9,1.7,1.6,1.1,,1.8,23.9,,-6.53
0,Michael Ansley,Alabama,,128,98,29.2,5.5,9.5,.577,,,.575,,,.200,2.6,3.7,.713,,,7.6,0.6,0.5,0.1,1.8,2.8,13.7,,7.06
0,Michael Curry,Georgia Southern,,119,43,28.3,3.5,6.3,.563,3.5,6.2,.570,0.0,0.1,.083,2.3,3.1,.738,,,5.4,1.8,0.8,0.3,,,9.4,,-5.78
0,Carsen Edwards,Purdue,,108,94,29.4,5.9,14.2,.412,3.3,7.2,.455,2.6,7.1,.368,3.4,4.2,.817,0.4,3.0,3.4,2.5,1.2,0.2,2.2,1.9,17.8,,9.84
0,Larry Robinson,Centenary (LA),,60,,34.7,8.5,16.4,.517,8.0,14.9,.538,0.5,1.5,.307,3.4,4.9,.699,,,6.9,2.5,2.8,0.2,2.3,2.9,20.8,,-4.97
0,James Johnson,Quinnipiac,,127,127,33.7,4.6,11.9,.385,2.9,7.3,.394,1.7,4.6,.370,2.8,3.5,.792,0.8,2.7,3.5,3.8,1.5,0.1,2.2,2.3,13.6,,-7.53
0,Dan Godfread,Evansville,,102,63,27.1,5.6,9.3,.600,,,.603,,,.500,2.4,3.4,.695,,,7.2,0.8,0.2,2.2,,,13.6,,0.61
0,Donovan Mitchell,Louisville,,65,38,26.0,4.1,9.8,.418,2.6,5.2,.497,1.5,4.6,.329,2.0,2.5,.788,1.1,3.0,4.1,2.2,1.5,0.3,1.3,2.6,11.7,,9.44
0,Bill Wennington,St. John's (NY),,124,26,24.2,3.2,5.5,.579,,,,,,,1.8,2.5,.738,,,5.2,0.8,0.4,1.1,1.2,3.1,8.2,,5.16
0,Jack Haley,UCLA,,86,53,18.3,1.2,2.9,.425,,,.467,,,,1.2,1.9,.636,,,4.4,0.6,0.2,0.3,1.2,2.6,3.7,,5.94
0,Shayne Whittington,Western Michigan,,114,74,22.6,3.6,7.1,.515,3.6,6.7,.538,0.1,0.4,.167,2.4,3.2,.760,2.0,4.5,6.5,0.7,0.5,1.1,1.3,2.1,9.8,,-0.97
0,Malik Hairston,Oregon,,117,115,31.2,5.2,10.4,.504,4.0,7.2,.551,1.2,3.1,.395,2.4,3.7,.643,2.0,3.1,5.1,2.1,0.6,0.6,2.0,2.5,14.1,,6.87
0,Tyrone Hill,Xavier,,126,92,30.9,6.0,10.3,.579,6.0,10.3,.580,0.0,0.0,.000,4.0,5.7,.692,,,10.9,1.0,0.8,0.5,2.7,3.3,15.9,,0.50
0,Victor Alexander,Iowa State,,111,84,26.6,7.0,11.5,.611,7.0,11.5,.611,0.0,0.0,.000,3.0,4.8,.635,,,7.3,1.1,0.7,1.1,1.9,2.2,17.0,,9.97
0,Duncan Robinson,Michigan,,115,49,24.9,3.1,6.8,.455,1.0,1.9,.545,2.1,4.9,.419,1.1,1.2,.864,0.5,2.1,2.5,1.2,0.6,0.3,0.7,2.2,9.3,,9.16
0,Larry Hughes,Saint Louis,,32,32,32.4,7.0,16.9,.415,5.7,12.3,.461,1.3,4.5,.290,5.6,8.1,.692,,,5.1,2.4,2.2,0.4,3.8,2.4,20.9,,5.51
0,James Nunnally,UCSB,,123,93,29.4,4.5,9.8,.465,3.0,5.8,.517,1.5,3.9,.386,3.1,4.0,.784,1.0,4.2,5.1,2.0,0.6,0.2,2.2,1.9,13.7,,-0.86
0,Dan Gadzuric,UCLA,,122,102,24.1,4.5,8.2,.548,4.5,8.2,.549,0.0,0.0,.000,1.6,3.5,.449,,,6.6,0.6,0.7,1.5,1.8,2.8,10.5,,10.45
0,Eric Leckner,Wyoming,,131,,29.1,5.7,9.4,.612,,,.636,,,,3.3,4.8,.681,,,5.9,0.4,0.5,1.3,,3.2,14.8,,2.68
0,Chris Smith,UConn,,127,67,33.6,5.7,13.6,.421,3.8,8.9,.432,1.9,4.8,.400,3.5,4.6,.761,,,2.9,3.4,1.5,0.3,2.3,2.2,16.9,,7.54
0,Corey Brewer,Florida,,108,106,27.2,4.0,8.2,.480,3.0,5.7,.536,0.9,2.6,.356,2.5,3.6,.708,1.3,3.0,4.3,2.8,1.6,0.4,2.3,2.2,11.3,,6.65
0,Tony Dawson,Florida State,,60,59,32.3,7.6,14.2,.533,7.2,12.8,.561,0.4,1.5,.295,3.8,5.2,.732,,,7.2,0.8,0.9,0.2,2.4,3.1,19.4,,3.95
0,Jimmy Oliver,Purdue,,90,44,25.5,3.7,8.0,.465,2.4,4.6,.510,1.4,3.4,.406,1.8,2.4,.751,,,3.1,2.5,0.5,0.3,1.6,1.3,10.7,,10.91
0,James Edwards,Washington,,106,,29.7,5.9,11.5,.509,,,,,,,2.9,4.8,.598,,,7.5,,,,,3.5,14.6,,5.20
0,Cameron Reynolds,Tulane,,135,69,26.3,3.6,9.3,.387,2.2,5.1,.432,1.4,4.3,.334,1.5,2.1,.716,0.9,3.5,4.5,1.2,0.6,0.3,1.2,2.2,10.1,,1.74
0,Joe Johnson,Arkansas,,53,41,30.3,5.7,12.2,.466,4.5,9.3,.485,1.2,2.9,.406,2.4,3.2,.753,,,6.1,2.4,1.7,0.5,2.5,1.7,15.0,,6.96
0,Howard Eisley,Boston College,,126,64,35.3,4.2,9.5,.444,2.6,6.0,.443,1.6,3.5,.447,3.0,3.8,.784,,,3.3,4.3,1.5,0.1,2.9,2.8,12.9,,7.72
0,P.J. Washington,Kentucky,,72,63,28.3,4.5,8.7,.521,4.0,7.3,.547,0.5,1.4,.384,3.4,5.4,.632,2.1,4.5,6.6,1.7,0.8,1.0,1.9,2.6,12.9,,10.51
0,Barry Stevens,Iowa State,,117,111,33.8,7.5,15.8,.476,,,,,,,3.7,4.7,.775,,,4.6,1.6,1.1,0.1,2.4,2.6,18.7,,5.99
0,J.J. Redick,Duke,,139,134,34.0,5.9,13.7,.433,2.6,5.6,.472,3.3,8.1,.406,4.8,5.2,.912,0.5,2.2,2.7,2.2,1.1,0.1,2.1,1.6,19.9,,9.51
0,Maurice Carter,LSU,,108,81,27.0,4.2,10.1,.415,2.8,6.0,.456,1.5,4.1,.354,2.1,3.1,.688,,,3.5,1.3,0.8,0.3,2.1,1.6,12.0,,6.22
0,Alize Johnson,Missouri State,,66,66,30.7,5.2,11.3,.457,3.9,7.5,.523,1.2,3.8,.325,3.3,4.6,.716,3.2,7.9,11.1,2.4,0.5,0.3,2.3,2.3,14.9,,0.82
0,George Hill,IUPUI,,95,87,33.3,5.6,10.7,.529,4.7,8.3,.565,0.9,2.3,.404,4.8,6.1,.785,1.9,3.8,5.8,3.3,1.6,0.3,2.5,2.8,17.0,,-3.26
0,Casey Shaw,Toledo,,113,26,31.3,5.3,9.7,.546,5.3,9.7,.547,0.0,0.0,.000,3.3,5.5,.594,,,7.7,1.2,0.5,1.0,,2.9,13.8,,0.58
0,Avery Bradley,Texas,,34,32,29.5,4.7,10.8,.432,3.4,7.5,.457,1.2,3.3,.375,1.1,1.9,.545,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4,11.6,,7.38
0,Antonio Burks,Memphis,,91,80,30.6,4.3,9.2,.469,3.6,7.4,.484,0.7,1.7,.401,2.0,3.0,.673,0.5,2.1,2.6,5.4,1.9,0.2,2.3,2.3,11.3,,5.31
0,Kirk Snyder,Nevada,,84,74,30.8,5.7,13.3,.426,4.4,9.3,.477,1.3,4.1,.310,4.1,6.0,.677,2.3,4.1,6.4,2.7,0.9,0.8,3.1,2.4,16.7,,3.25
0,Kelan Martin,Butler,,136,71,26.9,5.2,12.0,.437,3.6,7.3,.495,1.6,4.7,.348,2.9,3.7,.786,1.0,4.2,5.2,1.2,0.6,0.4,1.7,2.1,15.1,,9.24
0,Mark Bryant,Seton Hall,,118,109,31.1,6.2,11.8,.521,,,.535,,,.667,3.8,5.4,.705,,,7.7,0.7,0.6,0.9,2.2,3.2,16.2,,5.48
0,Wally Szczerbiak,Miami (OH),,105,27,30.4,6.4,12.5,.512,4.4,8.0,.558,1.9,4.5,.431,2.9,3.5,.809,,,6.3,2.2,0.8,0.8,2.4,2.7,17.6,,1.97
0,Orlando Woolridge,Notre Dame,,109,85,25.1,4.3,7.2,.595,,,,,,,2.1,3.1,.669,,,5.0,1.2,,,,2.0,10.6,,4.19
0,Ian Lockhart,Tennessee,,110,34,19.2,3.1,6.0,.521,3.1,6.0,.524,0.0,0.0,.000,1.7,2.6,.632,,,6.0,0.5,1.1,0.4,1.3,2.5,7.9,,6.89
0,John Collins,Wake Forest,,64,34,20.7,4.9,8.2,.601,4.9,8.2,.602,0.0,0.0,.000,3.6,4.9,.729,2.8,4.2,7.0,0.4,0.5,1.2,1.4,2.8,13.4,,10.16
0,Jim McIlvaine,Marquette,,118,27,23.0,4.0,7.2,.552,4.0,7.2,.552,0.0,0.0,,2.9,4.2,.687,,,5.7,0.8,0.2,3.4,1.6,2.5,10.8,,3.78
0,Kebu Stewart,UNLV,,43,36,34.3,6.0,12.1,.490,5.9,12.0,.493,0.0,0.1,.200,6.0,9.4,.638,,,10.8,0.8,1.0,0.8,3.2,3.1,18.0,,1.52
0,Jeff Webster,Oklahoma,,128,87,28.7,7.2,13.7,.523,7.1,13.5,.527,0.0,0.2,.250,3.4,4.4,.778,,,6.2,0.5,0.7,0.6,1.8,3.2,17.8,,9.83
0,Anthony Grundy,NC State,,121,99,29.4,4.9,11.3,.432,3.5,7.2,.489,1.4,4.1,.333,2.5,3.5,.709,,,4.4,2.9,2.0,0.2,2.3,2.0,13.6,,8.35
0,Sviatoslav Mykhailiuk,Kansas,,136,70,22.6,3.1,7.3,.428,1.4,3.0,.455,1.7,4.3,.409,0.7,1.0,.746,0.7,1.8,2.5,1.5,0.7,0.2,1.1,1.7,8.7,,11.86
0,Coby White,UNC,,35,35,28.5,5.4,12.7,.423,3.0,6.1,.500,2.3,6.6,.353,3.0,3.7,.800,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,,11.35
0,Chris Taft,Pitt,,65,53,26.0,4.9,8.7,.569,4.9,8.7,.569,0.0,0.0,,2.1,3.7,.564,3.1,4.4,7.5,1.1,0.4,1.7,1.4,1.5,12.0,,6.11
0,Speedy Claxton,Hofstra,,119,59,34.1,5.9,12.6,.468,5.4,10.9,.491,0.5,1.7,.322,4.5,6.1,.748,,,4.8,5.5,2.4,0.3,3.1,2.3,16.9,,-4.42
0,Festus Ezeli,Vanderbilt,,121,67,17.9,2.7,4.9,.562,2.7,4.9,.562,0.0,0.0,,2.3,3.9,.584,1.8,2.7,4.5,0.1,0.3,1.7,1.6,2.6,7.7,,6.64
0,Travis Diener,Marquette,,120,89,31.4,4.3,10.2,.416,1.9,4.5,.420,2.4,5.7,.413,3.2,3.8,.837,0.5,2.6,3.1,5.1,1.3,0.1,1.9,2.1,14.1,,5.22
0,Delaney Rudd,Wake Forest,,114,93,27.8,4.9,9.9,.495,,,.536,,,.448,1.7,2.1,.805,,,1.7,2.5,0.8,0.0,1.6,2.3,11.7,,7.39
0,Robin Lopez,Stanford,,67,61,24.3,3.5,6.9,.511,3.5,6.9,.511,0.0,0.0,.500,1.9,3.1,.612,2.6,3.1,5.6,0.8,0.3,2.3,1.6,2.5,9.0,,8.01
0,Nicolas Claxton,Georgia,,65,37,23.0,2.8,6.1,.457,2.4,4.8,.500,0.4,1.3,.302,2.4,4.0,.611,2.0,4.2,6.2,1.0,0.6,1.9,1.4,2.3,8.4,,8.50
0,Daniel Ochefu,Villanova,,141,110,21.7,2.9,4.8,.600,2.9,4.7,.604,0.0,0.0,.000,1.5,2.4,.622,2.1,4.5,6.6,1.3,0.8,1.3,1.6,2.3,7.2,,8.32
0,Aaron Williams,Xavier,,117,21,23.6,3.7,6.6,.556,3.7,6.6,.556,0.0,0.0,,1.8,2.6,.707,,,6.1,1.1,0.6,1.7,2.0,2.9,9.2,,1.84
0,Eric Williams,Providence,,60,30,30.4,5.8,12.9,.453,5.4,11.5,.466,0.5,1.4,.349,4.5,6.7,.673,,,5.9,1.9,1.6,1.1,2.2,2.7,16.7,,8.75
0,Darryl Johnson,Michigan State,,107,64,28.5,5.5,10.2,.536,,,.542,,,.371,1.9,2.3,.830,,,2.4,2.7,1.3,0.1,,2.0,12.9,,7.56
0,Aaron Harrison,Kentucky,,79,78,29.2,4.1,9.9,.410,2.5,5.3,.474,1.5,4.6,.335,2.8,3.5,.787,0.5,2.3,2.8,1.6,1.1,0.2,1.3,1.8,12.4,,9.28
0,Derrick Coleman,Syracuse,,143,139,32.8,5.4,9.5,.568,5.3,9.1,.580,0.1,0.4,.291,4.1,6.0,.684,,,10.7,2.3,1.3,2.2,2.3,3.0,15.0,,8.71
0,John Konchar,Purdue-Fort Wayne,,133,130,35.2,5.7,10.3,.556,4.3,6.8,.629,1.5,3.5,.416,2.7,3.8,.697,2.3,6.3,8.6,4.2,2.0,0.6,1.9,2.0,15.5,,-2.92
0,Gabe Pruitt,USC,,80,70,32.4,4.5,10.2,.438,2.2,4.5,.496,2.2,5.7,.393,2.6,3.3,.778,0.6,2.5,3.1,3.5,2.0,0.2,2.4,2.3,13.8,,6.92
0,Antonius Cleveland,Southeast Missouri State,,121,108,28.8,4.8,9.8,.494,4.3,8.0,.540,0.5,1.8,.288,2.7,4.4,.612,1.4,3.3,4.7,2.0,1.3,0.6,1.9,2.6,12.9,,-4.51
0,Caleb Swanigan,Purdue,,69,69,29.2,5.1,10.2,.501,4.2,7.9,.537,0.9,2.3,.376,3.3,4.4,.760,2.2,8.2,10.4,2.4,0.4,0.5,3.0,2.5,14.4,,8.12
0,Will Perdue,Vanderbilt,,104,0,22.5,5.0,8.2,.606,,,.616,,,,2.3,3.8,.620,,,6.8,1.3,0.3,1.6,1.5,2.3,12.3,,8.53
0,Todd Day,Arkansas,,127,106,28.2,6.6,13.7,.479,4.8,9.1,.527,1.8,4.6,.384,3.9,5.3,.747,,,5.3,2.5,2.1,0.8,2.5,2.6,18.9,,5.89
0,Jamel Thomas,Providence,,124,93,29.9,5.5,13.3,.413,3.9,8.6,.451,1.6,4.7,.342,3.3,4.5,.736,,,5.9,2.0,1.3,0.3,3.0,2.7,15.9,,8.47
0,Steve Bardo,Illinois,,129,90,26.3,2.4,5.6,.439,2.0,4.5,.436,0.5,1.0,.455,1.7,2.4,.701,,,4.3,3.8,1.0,0.3,2.0,2.5,7.0,,10.20
0,De'Andre Hunter,Virginia,,71,38,26.6,4.4,8.5,.509,3.4,6.3,.541,0.9,2.3,.419,2.8,3.6,.773,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4,,9.61
0,Gary Plummer,Boston University,,90,50,24.5,4.9,10.1,.487,,,,,,,2.7,3.6,.761,,,6.7,1.3,0.8,0.8,2.4,3.1,12.5,,-5.02
0,Robert Sacre,Gonzaga,,136,111,21.7,3.0,6.0,.504,3.0,5.9,.505,0.0,0.0,.250,3.3,4.5,.735,1.8,3.2,5.0,0.7,0.5,1.4,1.6,2.3,9.3,,3.36
0,Avery Johnson,Southern,,61,31,37.0,3.7,7.4,.494,3.2,6.3,.510,0.5,1.2,.408,1.4,2.1,.651,,,2.6,12.0,3.1,0.1,4.9,,9.2,,-8.12
0,Marques Bragg,Providence,,105,,21.3,3.4,6.0,.564,3.4,6.0,.564,0.0,0.0,,1.9,4.0,.486,,,6.3,0.9,0.8,0.5,,3.0,8.8,,6.27
0,Jelani McCoy,UCLA,,78,59,26.7,4.4,6.4,.694,4.4,6.4,.694,0.0,0.0,,1.5,3.3,.462,,,7.1,1.1,0.6,2.4,2.3,2.4,10.4,,9.55
0,Scott Roth,Wisconsin,,109,79,27.0,4.2,8.5,.491,,,,,,,2.3,3.0,.745,,,2.8,2.3,0.9,0.0,1.9,2.1,10.6,,6.46
0,Julian Washburn,UTEP,,130,126,34.2,4.6,10.5,.435,3.6,7.8,.468,0.9,2.7,.341,1.7,2.5,.699,0.8,3.0,3.8,2.1,0.9,0.4,1.6,1.8,11.7,,1.19
0,Clyde Drexler*,Houston,,96,61,33.9,6.2,11.5,.538,,,,,,,2.0,3.1,.643,,,9.9,3.2,2.8,0.9,2.5,3.4,14.4,,4.98
0,Domantas Sabonis,Gonzaga,,74,32,26.6,5.2,8.2,.632,5.1,8.0,.638,0.1,0.2,.357,3.1,4.2,.729,2.6,6.8,9.4,1.3,0.5,0.6,2.0,3.0,13.5,,4.67
0,Ron Mercer,Kentucky,,76,53,26.0,5.3,11.0,.483,4.4,8.3,.529,0.9,2.8,.344,1.8,2.2,.782,,,4.1,1.9,1.3,0.2,1.4,1.9,13.3,,9.63
0,Keith Appling,Michigan State,,142,124,29.8,3.5,8.0,.431,2.5,5.1,.486,1.0,2.9,.334,2.7,3.7,.748,0.4,2.6,3.0,3.3,1.1,0.5,2.1,2.4,10.6,,10.35
0,Shammond Williams,UNC,,134,67,23.8,3.4,7.6,.455,1.7,3.2,.523,1.7,4.3,.403,2.2,2.6,.849,,,2.5,3.0,0.7,0.0,2.0,1.2,10.8,,11.73
0,Alvin Heggs,Texas,,63,,21.1,6.4,10.9,.585,6.4,10.9,.586,0.0,0.0,.000,3.1,4.1,.773,,,7.2,0.8,0.6,0.4,,,15.9,,1.82
0,Rasheed Wallace,UNC,,69,41,25.5,5.5,8.6,.635,5.4,8.6,.637,0.0,0.1,.250,2.1,3.4,.621,,,7.4,0.8,0.6,2.3,1.5,2.6,13.0,,11.18
0,Eric Montross,UNC,,139,105,25.2,4.5,7.7,.585,4.5,7.7,.585,0.0,0.0,,2.7,4.3,.624,,,6.8,0.6,0.5,1.2,1.5,2.9,11.7,,10.41
0,Jon Koncak,SMU,,123,60,32.3,5.8,10.4,.559,,,,,,,2.9,4.5,.649,,,9.5,1.4,0.6,2.3,2.1,3.3,14.5,,3.79
0,Lamar Patterson,Pitt,,149,106,24.3,3.2,7.4,.435,2.1,4.3,.483,1.1,3.1,.369,1.9,2.6,.723,1.2,2.8,3.9,2.9,1.0,0.3,1.6,1.9,9.5,,6.86
0,Jeff Foster,Texas State,,111,,23.2,3.6,7.1,.508,3.6,7.1,.505,0.0,0.0,1.000,2.5,3.9,.639,,,8.4,1.2,0.9,1.0,1.8,,9.8,,-7.60
0,Hollis Thompson,Georgetown,,99,57,24.6,3.1,6.5,.478,1.8,3.6,.508,1.3,2.9,.440,1.2,1.7,.676,1.1,3.0,4.1,1.1,0.8,0.4,1.1,2.3,8.7,,9.21
0,Nassir Little,UNC,,36,0,18.2,3.6,7.6,.478,3.3,6.2,.527,0.4,1.4,.269,2.1,2.8,.770,1.6,3.0,4.6,0.7,0.5,0.5,1.3,1.6,9.8,,11.35
0,Rodney Carney,Memphis,,133,101,27.6,5.0,11.9,.415,2.8,6.0,.468,2.2,6.0,.362,2.2,3.1,.717,1.5,3.4,4.9,1.2,1.0,1.0,1.4,2.1,14.3,,5.22
0,Blake Ahearn,Missouri State,,129,84,26.5,3.7,8.9,.423,1.6,3.6,.444,2.1,5.2,.408,3.4,3.6,.946,0.3,1.5,1.7,1.8,0.7,0.0,1.7,1.3,13.0,,4.41
0,Benoit Benjamin,Creighton,,89,87,35.7,6.9,12.2,.562,,,,,,,4.0,5.5,.720,,,11.3,1.7,0.7,4.6,2.7,3.0,17.7,,3.97
0,Blake Griffin,Oklahoma,,68,63,30.9,7.1,11.5,.618,7.1,11.4,.622,0.0,0.1,.300,4.5,7.7,.589,3.6,8.3,11.8,2.1,1.1,1.0,2.8,2.5,18.8,,7.37
0,Quinton Ross,SMU,,119,119,30.4,4.8,10.8,.446,3.4,6.5,.521,1.4,4.3,.331,3.7,4.9,.756,,,5.5,1.9,1.3,0.7,,,14.8,,2.67
0,Kyle O'Quinn,Norfolk State,,129,98,27.5,4.7,8.6,.553,4.3,7.0,.620,0.4,1.6,.261,2.6,3.8,.685,2.6,5.9,8.5,0.9,0.5,2.2,2.0,2.9,12.5,,-7.19
0,Nick Anderson,Illinois,,69,57,29.5,7.0,12.7,.553,6.7,11.7,.570,0.4,1.0,.361,2.6,3.9,.657,,,7.3,1.8,1.4,0.9,1.7,2.0,17.0,,11.12
0,Dwight Powell,Stanford,,136,105,26.2,3.8,8.2,.464,3.5,7.3,.484,0.2,0.8,.289,3.0,4.1,.722,1.7,4.6,6.3,1.8,0.9,0.9,2.1,2.9,10.8,,6.38
0,Randolph Keys,Southern Miss,,121,75,28.4,5.7,12.0,.476,,,.490,,,.294,1.7,2.4,.698,,,6.0,0.9,1.0,0.6,1.4,3.2,13.4,,5.42
0,Jayson Williams,St. John's (NY),,72,13,28.8,5.7,10.3,.550,5.7,10.3,.551,0.0,0.1,.250,3.5,5.4,.652,,,6.8,0.5,0.4,0.8,2.2,3.3,14.9,,8.17
0,Jerome Lane,Pitt,,93,81,31.9,4.7,8.9,.525,,,.549,,,.267,3.7,5.8,.628,,,10.4,2.2,1.1,0.4,2.3,2.8,13.1,,7.32
0,Derek Smith,Louisville,,131,33,28.7,5.5,9.5,.577,,,,,,,2.9,4.4,.670,,,6.7,1.9,1.1,0.5,,3.1,13.9,,4.85
0,Duane Causwell,Temple,,75,30,25.3,2.8,5.5,.504,2.8,5.5,.505,0.0,0.0,.000,1.7,2.7,.624,,,6.0,0.4,0.6,2.7,0.9,2.7,7.2,,3.00
