,Player,* = NCAA Tournament appearance,Conference,Games,Games Started,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game, ,"Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."
0,Roger Powell,Illinois,,128,89,19.9,3.6,6.2,.572,3.2,5.3,.602,0.4,0.9,.398,1.7,2.6,.662,1.9,2.3,4.1,0.4,0.5,0.3,0.9,1.9,9.2,,8.06
0,Kevon Looney,UCLA,,36,36,30.9,4.2,8.9,.470,3.6,7.4,.481,0.6,1.5,.415,2.6,4.1,.626,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9,11.6,,8.27
0,Andrew Nicholson,St. Bonaventure,,123,118,29.9,6.6,11.4,.575,6.3,10.8,.586,0.2,0.6,.377,3.7,5.1,.720,2.2,5.0,7.2,0.7,0.5,2.0,2.4,3.0,17.1,,1.35
0,Greg Smith,Delaware State,,49,24,10.8,1.1,2.7,.391,0.9,2.5,.371,0.1,0.2,.667,0.2,0.3,.688,0.7,0.9,1.7,0.2,0.3,0.3,0.4,1.6,2.5,,-6.19
0,Paul McPherson,DePaul,,32,23,27.4,4.7,8.8,.530,4.5,8.3,.543,0.2,0.5,.313,1.8,2.8,.629,,,4.7,1.8,1.6,0.6,2.2,2.4,11.2,,7.83
0,B.J. Johnson,Villanova,,29,1,3.2,0.1,0.6,.188,0.1,0.3,.300,0.0,0.2,.000,0.3,0.4,.692,,,0.4,0.1,0.3,0.0,0.3,0.7,0.5,,6.46
0,Solomon Jones,South Florida,,59,56,31.2,3.7,7.3,.505,3.7,7.2,.507,0.0,0.0,.000,2.5,3.6,.693,2.6,5.4,8.0,1.0,0.6,2.6,2.7,3.4,9.8,,3.34
0,Alaa Abdelnaby,Duke,,134,57,14.8,3.3,5.6,.599,3.3,5.6,.599,0.0,0.0,,1.8,2.5,.728,,,3.7,0.4,0.4,0.5,1.0,2.1,8.5,,8.14
0,Jeff Hornacek,Iowa State,,123,109,33.3,4.1,8.5,.489,,,,,,,2.4,3.0,.790,,,3.3,5.4,1.7,0.3,2.3,2.5,10.7,,7.01
0,Tyrone Wallace,California,,129,114,31.6,4.6,11.0,.415,3.6,7.9,.464,0.9,3.1,.292,2.6,4.2,.613,1.0,4.2,5.2,3.4,1.1,0.4,2.2,2.5,12.6,,7.31
0,Dillon Brooks,Oregon,,109,98,28.9,5.4,11.4,.472,4.2,8.0,.518,1.2,3.4,.362,2.8,3.5,.794,1.6,2.9,4.5,2.6,0.9,0.5,2.1,2.9,14.8,,8.23
0,Anthony Parker,Bradley,,112,107,32.2,4.7,10.5,.447,2.9,5.9,.500,1.7,4.6,.379,3.9,5.2,.750,,,5.7,3.2,1.4,0.7,2.5,2.0,15.0,,2.23
0,Patrick Ewing,Georgetown,,143,101,30.8,6.0,9.7,.620,,,,,,,3.3,5.2,.635,,,9.2,0.9,1.2,3.4,2.3,3.0,15.3,,5.82
